CIPTitle,INSTNM,Total,Pct,Denom
"Accounting and Related Services, Other.",Northwestern University,0,0,16
Accounting.,Anderson University,0,0,18
Accounting.,Bentley University,0,0,18
Accounting.,Capella University,12,0.2926829268292683,41
Accounting.,Carnegie Mellon University,0,0,9
Accounting.,George Washington University,0,0,2
Accounting.,Georgia State University,1,0.09090909090909091,11
Accounting.,Louisiana State University and Agricultural & Mechanical College,0,0,17
Accounting.,Michigan State University,1,0.05555555555555555,18
Accounting.,New York University,0,0,14
Accounting.,Ohio State University-Main Campus,0,0,12
Accounting.,Texas A & M University-College Station,0,0,16
Accounting.,The University of Alabama,0,0,17
Accounting.,The University of Texas at Arlington,0,0,2
Accounting.,The University of Texas at Austin,0,0,24
Accounting.,The University of Texas at San Antonio,2,0.09090909090909091,22
Accounting.,University of Connecticut,0,0,4
Accounting.,University of Houston,0,0,1
Accounting.,University of Illinois at Urbana-Champaign,1,0.02857142857142857,35
Accounting.,University of Mississippi,1,0.05555555555555555,18
Accounting.,University of Missouri-Columbia,0,0,16
Accounting.,University of North Texas,1,0.1,10
Accounting.,University of Oregon,0,0,13
Accounting.,University of Pennsylvania,0,0,14
Acoustics.,Naval Postgraduate School,0,0,1
Acoustics.,Pennsylvania State University-Main Campus,0,0,39
Acupuncture and Oriental Medicine.,AOMA Graduate School of Integrative Medicine,0,0,12
Acupuncture and Oriental Medicine.,Five Branches University,0,0,44
Administration of Special Education.,Capella University,37,0.42528735632183906,87
Administration of Special Education.,Gallaudet University,0,0,2
Administration of Special Education.,Gwynedd Mercy University,0,0,3
Administration of Special Education.,Inter American University of Puerto Rico-Metro,0,0,2
Administration of Special Education.,Kennesaw State University,0,0,2
Administration of Special Education.,Regent University,21,0.525,40
Administration of Special Education.,Teachers College at Columbia University,0,0,3
Administration of Special Education.,Virginia Polytechnic Institute and State University,0,0,1
Administration of Special Education.,NA,0,0,1
Adult and Continuing Education Administration.,North Carolina State University at Raleigh,15,0.16304347826086957,92
Adult and Continuing Education Administration.,Northern Illinois University,19,0.1557377049180328,122
Adult and Continuing Education Administration.,Nova Southeastern University,7,0.7777777777777778,9
Adult and Continuing Education Administration.,Pennsylvania State University-Main Campus,8,0.13793103448275862,58
Adult and Continuing Education Administration.,Texas State University,20,0.24691358024691357,81
Adult and Continuing Education Administration.,University of Arkansas,1,0.09090909090909091,11
Adult and Continuing Education Administration.,Valdosta State University,4,0.2222222222222222,18
Adult and Continuing Education and Teaching.,Ball State University,4,0.10256410256410256,39
Adult and Continuing Education and Teaching.,Capella University,84,0.21265822784810126,395
Adult and Continuing Education and Teaching.,Florida International University,7,0.22580645161290322,31
Adult and Continuing Education and Teaching.,Florida State University,1,0.5,2
Adult and Continuing Education and Teaching.,Kansas State University,2,0.05555555555555555,36
Adult and Continuing Education and Teaching.,Louisiana State University and Agricultural & Mechanical College,17,0.17894736842105263,95
Adult and Continuing Education and Teaching.,National Louis University,15,0.39473684210526316,38
Adult and Continuing Education and Teaching.,Oklahoma State University-Main Campus,0,0,5
Adult and Continuing Education and Teaching.,Pennsylvania State University-Main Campus,4,0.08163265306122448,49
Adult and Continuing Education and Teaching.,Pennsylvania State University-Penn State Harrisburg,2,0.03773584905660377,53
Adult and Continuing Education and Teaching.,Regent University,10,0.43478260869565216,23
Adult and Continuing Education and Teaching.,Teachers College at Columbia University,19,0.19,100
Adult and Continuing Education and Teaching.,Texas A & M University-College Station,14,0.1686746987951807,83
Adult and Continuing Education and Teaching.,University of Arkansas,8,0.1951219512195122,41
Adult and Continuing Education and Teaching.,University of Connecticut,1,0.0625,16
Adult and Continuing Education and Teaching.,University of Georgia,37,0.29838709677419356,124
Adult and Continuing Education and Teaching.,University of Nevada-Las Vegas,5,0.35714285714285715,14
Adult and Continuing Education and Teaching.,University of Oklahoma-Norman Campus,6,0.20689655172413793,29
Adult and Continuing Education and Teaching.,University of Wisconsin-Madison,0,0,1
Adult Development and Aging.,Cleveland State University,0,0,6
Adult Development and Aging.,Purdue University-Main Campus,1,0.2,5
Adult Health Nurse/Nursing.,Duke University,2,0.08695652173913043,23
Adult Health Nurse/Nursing.,Molloy College,1,0.25,4
Adult Health Nurse/Nursing.,New York University,0,0,1
Adult Health Nurse/Nursing.,University of Iowa,2,0.02666666666666667,75
Adult Health Nurse/Nursing.,Winona State University,0,0,5
Adult Literacy Tutor/Instructor.,University of Nevada-Reno,0,0,10
Advanced General Dentistry.,Harvard University,0,0,1
Advanced General Dentistry.,University of Detroit Mercy,0,0,9
"Advanced Legal Research/Studies, General.",Columbia University in the City of New York,0,0,20
"Advanced Legal Research/Studies, General.",Emory University,2,0.15384615384615385,13
"Advanced Legal Research/Studies, General.",George Washington University,0,0,1
"Advanced Legal Research/Studies, General.",Georgetown University,0,0,28
"Advanced Legal Research/Studies, General.",Harvard University,0,0,86
"Advanced Legal Research/Studies, General.",Indiana University-Bloomington,0,0,59
"Advanced Legal Research/Studies, General.",Indiana University-Purdue University-Indianapolis,0,0,21
"Advanced Legal Research/Studies, General.",Northwestern University,0,0,5
"Advanced Legal Research/Studies, General.",Stanford University,0,0,147
"Advanced Legal Research/Studies, General.",Suffolk University,0,0,2
"Advanced Legal Research/Studies, General.",Temple University,0,0,4
"Advanced Legal Research/Studies, General.",Tulane University of Louisiana,0,0,9
"Advanced Legal Research/Studies, General.",University of Arizona,3,0.09375,32
"Advanced Legal Research/Studies, General.",University of California-Berkeley,0,0,51
"Advanced Legal Research/Studies, General.",University of Chicago,0,0,16
"Advanced Legal Research/Studies, General.",University of Connecticut,0,0,3
"Advanced Legal Research/Studies, General.",University of Illinois at Urbana-Champaign,0,0,16
"Advanced Legal Research/Studies, General.",University of Kansas,1,0.034482758620689655,29
"Advanced Legal Research/Studies, General.",University of Michigan-Ann Arbor,0,0,22
"Advanced Legal Research/Studies, General.",University of Notre Dame,0,0,7
"Advanced Legal Research/Studies, General.",University of Pennsylvania,0,0,2
"Advanced Legal Research/Studies, General.",University of Pittsburgh-Pittsburgh Campus,0,0,6
"Advanced Legal Research/Studies, General.",University of Wisconsin-Madison,0,0,34
"Advanced Legal Research/Studies, General.",Valparaiso University,0,0,1
"Advanced Legal Research/Studies, General.",Wake Forest University,0,0,14
"Advanced Legal Research/Studies, General.",Washington University in St Louis,0,0,22
"Advanced Legal Research/Studies, General.",Yale University,0,0,74
"Advanced/Graduate Dentistry and Oral Sciences, Other.",Boston University,0,0,13
"Advanced/Graduate Dentistry and Oral Sciences, Other.",Harvard University,0,0,5
"Advanced/Graduate Dentistry and Oral Sciences, Other.",University of Illinois at Chicago,1,0.08333333333333333,12
"Advanced/Graduate Dentistry and Oral Sciences, Other.",University of Iowa,0,0,12
"Advanced/Graduate Dentistry and Oral Sciences, Other.",University of Southern California,0,0,17
Advertising.,The University of Texas at Austin,6,0.11764705882352941,51
"Aeronautics/Aviation/Aerospace Science and Technology, General.",Embry-Riddle Aeronautical University-Worldwide,0,0,23
"Aeronautics/Aviation/Aerospace Science and Technology, General.",Florida Institute of Technology,1,0.09090909090909091,11
"Aeronautics/Aviation/Aerospace Science and Technology, General.",University of North Dakota,0,0,6
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",Air Force Institute of Technology-Graduate School of Engineering & Management,1,0.01639344262295082,61
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",Arizona State University-Tempe,0,0,21
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",Auburn University,0,0,14
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",Boston University,0,0,1
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",California Institute of Technology,1,0.011494252873563218,87
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",Case Western Reserve University,0,0,5
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",Cornell University,1,0.047619047619047616,21
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",Embry-Riddle Aeronautical University-Daytona Beach,0,0,3
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",Florida Institute of Technology,1,0.16666666666666666,6
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",Georgia Institute of Technology-Main Campus,7,0.023026315789473683,304
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",Iowa State University,0,0,49
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",Massachusetts Institute of Technology,1,0.004975124378109453,201
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",Missouri University of Science and Technology,0,0,16
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",Naval Postgraduate School,0,0,9
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",New Mexico State University-Main Campus,0,0,4
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",North Carolina State University at Raleigh,0,0,43
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",Ohio State University-Main Campus,1,0.02702702702702703,37
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",Pennsylvania State University-Main Campus,2,0.030303030303030304,66
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",Purdue University-Main Campus,2,0.010582010582010581,189
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",Rensselaer Polytechnic Institute,0,0,31
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",Stanford University,2,0.015748031496062992,127
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",Texas A & M University-College Station,0,0,109
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",The University of Alabama,0,0,14
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",The University of Tennessee-Knoxville,1,0.058823529411764705,17
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",The University of Texas at Arlington,2,0.047619047619047616,42
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",The University of Texas at Austin,0,0,71
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",University at Buffalo,1,0.05555555555555555,18
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",University of Alabama in Huntsville,0,0,2
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",University of Arizona,0,0,12
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",University of California-Los Angeles,3,0.08108108108108109,37
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",University of California-San Diego,0,0,10
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",University of Cincinnati-Main Campus,0,0,49
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",University of Colorado Boulder,1,0.006711409395973154,149
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",University of Dayton,2,0.3333333333333333,6
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",University of Florida,1,0.01694915254237288,59
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",University of Illinois at Urbana-Champaign,1,0.012987012987012988,77
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",University of Kansas,0,0,21
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",University of Maryland-College Park,5,0.05,100
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",University of Michigan-Ann Arbor,3,0.018072289156626505,166
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",University of Minnesota-Twin Cities,1,0.012195121951219513,82
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",University of Oklahoma-Norman Campus,0,0,6
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",University of Southern California,0,0,56
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",University of Washington-Seattle Campus,1,0.02040816326530612,49
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",Utah State University,0,0,1
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",Virginia Polytechnic Institute and State University,2,0.023255813953488372,86
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",Washington University in St Louis,0,0,3
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",Wichita State University,0,0,19
